Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),P/E,P/B,Div Yield,Total Returns Index
12-Dec-2011,4906.85,4910.25,4755.55,4764.6,178338170,5926,17.25,2.84,1.58,6043.39
13-Dec-2011,4733.6,4824.7,4728.5,4800.6,181043707,5816.38,17.38,2.87,1.57,6089.1
14-Dec-2011,4788.7,4839.55,4750.4,4763.25,176252160,6324.86,17.25,2.84,1.58,6041.71
15-Dec-2011,4712.8,4768.65,4673.85,4746.35,200317864,6976.68,17.19,2.83,1.59,6020.27
16-Dec-2011,4752.5,4818.85,4628.2,4651.6,202060039,7284.93,16.84,2.78,1.62,5900.11
19-Dec-2011,4623.15,4623.15,4555.9,4613.1,176447660,6302.29,16.71,2.75,1.64,5851.25
20-Dec-2011,4635.8,4637.25,4531.15,4544.2,195304596,6279.01,16.46,2.71,1.66,5763.88
21-Dec-2011,4636.45,4707.35,4601.95,4693.15,211310871,6689.82,17,2.8,1.61,5952.82
22-Dec-2011,4636.9,4740.6,4632.95,4733.85,170789015,6017,17.14,2.83,1.59,6004.44
23-Dec-2011,4763.2,4763.45,4693.2,4714,141982548,4676.75,17.07,2.81,1.6,5979.25
26-Dec-2011,4718.15,4787.25,4718.15,4779,90847991,3034.39,17.31,2.85,1.58,6061.7
27-Dec-2011,4780.2,4800.5,4723.65,4750.5,104828343,3342.15,17.2,2.84,1.59,6025.54
28-Dec-2011,4756.2,4756.2,4685.65,4705.8,117463489,3657.52,17.04,2.81,1.6,5968.84
29-Dec-2011,4681.15,4701.8,4639.05,4646.25,146003804,5137.28,16.83,2.77,1.62,5893.29
30-Dec-2011,4659.95,4690.45,4608.9,4624.3,113900727,3785.33,16.75,2.76,1.63,5865.49
02-Jan-2012,4640.2,4645.95,4588.05,4636.75,108460668,3590.96,16.79,2.77,1.63,5881.28
03-Jan-2012,4675.8,4773.1,4675.8,4765.3,146621115,5021.29,17.26,2.82,1.6,6044.28
04-Jan-2012,4774.95,4782.85,4728.85,4749.65,165938849,5661.16,17.2,2.81,1.6,6024.43
05-Jan-2012,4749,4779.8,4730.15,4749.95,177862936,5873.79,17.2,2.8,1.6,6024.82
06-Jan-2012,4724.15,4794.9,4686.85,4754.1,176057282,5234.69,17.22,2.8,1.6,6032.88
07-Jan-2012,4755.6,4759.4,4743.05,4746.9,18783880,414.88,17.19,2.8,1.6,6023.77
09-Jan-2012,4747.55,4758.7,4695.45,4742.8,147534537,4548.3,17.18,2.79,1.6,6018.56
10-Jan-2012,4771.85,4855.9,4768.25,4849.55,201661174,6222.27,17.56,2.86,1.57,6153.98
11-Jan-2012,4863.15,4877.2,4841.6,4860.95,209079758,6364,17.61,2.86,1.57,6168.48
12-Jan-2012,4840.95,4869.2,4803.9,4831.25,183068697,7271.44,17.5,2.85,1.58,6130.81
13-Jan-2012,4861.95,4898.85,4834.2,4866,230940604,7117.5,17.5,2.87,1.56,6174.88
16-Jan-2012,4844,4880.8,4827.05,4873.9,160479891,5297.89,17.53,2.87,1.56,6185.06
17-Jan-2012,4904.5,4975.55,4904,4967.3,223004183,7170.72,17.85,2.92,1.53,6303.61
